1293620851060|1292268309287|8|10995116277794|10995116277806|1293620851060
1293660623673|1292268309287|8|8796093022220|10995116277794|1293660623673
1293789128009|1292268309287|8|4398046511105|10995116277794|1293789128009
1293967655101|1292268309287|8|4398046511136|10995116277794|1293967655101
1294098897237|1292268309287|8|8796093022252|10995116277794|1294098897237
1294249841640|1294069194934|8|6597069766660|10995116277777|1294249841640
1294303553959|1292268309287|8|6597069766674|10995116277794|1294303553959
1294343757856|1292268309287|8|4398046511113|10995116277794|1294343757856
1294453920783|1292268309287|8|4398046511124|10995116277794|1294453920783
1295083111396|1294829214477|8|4398046511113|10995116277775|1295083111396
1295346655118|1294069194934|8|6597069766674|10995116277777|1295346655118
1295590013656|1294069194934|8|4398046511146|10995116277777|1295590013656
1296202687140|1294850145367|8|41|10995116277781|1296202687140
1296294649025|1294069194934|8|2199023255580|10995116277777|1296294649025
