1293362968343|1281673313260|7|343597384647|1293362968343|46.182.156.225|Chrome|About James Monroe, t in the American Revolutionary War. He wAbout Tupac Shakur,|80|6597069766672|81|-1|343597384644|2997;7526
1293367764667|1278737600823|7|343597384649|1293367764667|196.44.251.142|Internet Explorer|cool|4|4398046511105|39|-1|343597384647|
1293769981713|1271630504770|7|343597384788|1293769981713|103.4.109.58|Internet Explorer|good|4|2199023255555|41|343597384786|-1|
1293775244758|1276997338974|7|343597384787|1293775244758|80.94.224.187|Internet Explorer|no way!|7|4398046511112|63|343597384786|-1|
1293844199452|1270479069862|7|343597384803|1293844199452|148.215.164.197|Firefox|About James Monroe, , Monroe held the critical roles of Secretary About Jackie Chan, for t|90|2199023255591|53|343597384797|-1|2997;7519
1293844358189|1268951057359|7|343597384806|1293844358189|196.43.210.137|Safari|thanks|6|41|2|343597384797|-1|
1293844728088|1283798254594|7|343597384814|1293844728088|196.43.193.185|Chrome|maybe|5|6597069766667|110|343597384797|-1|
1293845405725|1283481972785|7|343597384799|1293845405725|213.55.117.76|Internet Explorer|duh|3|6597069766660|76|343597384797|-1|
1293853736141|1280077491119|7|343597384804|1293853736141|81.17.92.212|Firefox|thanks|6|4398046511113|4|-1|343597384803|
1293866068157|1290204368006|7|343597384817|1293866068157|193.188.95.38|Firefox|LOL|3|8796093022232|18|-1|343597384803|
1293867117416|1281434603250|7|343597384802|1293867117416|49.13.191.11|Internet Explorer|About James Monroe, ho was a Founding Father of the United SAbout South Korea, |79|6597069766656|0|343597384797|-1|2997;7018
1293867197458|1286002364765|7|343597384813|1293867197458|41.216.124.157|Internet Explorer|I see|5|8796093022235|39|-1|343597384802|
1293867342765|1277999837025|7|343597384816|1293867342765|31.22.34.254|Firefox|cool|4|4398046511133|56|-1|343597384802|
1293875650069|1292323297510|7|343597384815|1293875650069|46.12.117.178|Chrome|About James Monroe,  relatively little partisan strife – andAbout Duchy of Brun|79|10995116277795|78|-1|343597384802|2997;11757
1293886046340|1286249342147|7|343597384807|1293886046340|31.207.89.191|Chrome|About Last Name, ted. At the 51st Grammy Awards, the song won Underwood her thir|80|8796093022248|99|-1|343597384802|11806
1293889399334|1275677665021|7|343597384801|1293889399334|61.91.56.45|Internet Explorer|right|5|4398046511124|103|343597384797|-1|
1293891606393|1282343327148|7|343597384812|1293891606393|87.251.1.253|Firefox|maybe|5|6597069766674|105|-1|343597384807|
1293902990030|1279722748150|7|343597384811|1293902990030|41.75.69.45|Chrome|right|5|4398046511147|73|343597384797|-1|
1293904846100|1283798254594|7|343597384798|1293904846100|14.0.3.125|Chrome|no|2|6597069766667|1|343597384797|-1|
1293908195382|1275133291109|7|343597384809|1293908195382|24.109.229.210|Firefox|cool|4|4398046511109|66|-1|343597384802|
1293910761924|1283481972785|7|343597384810|1293910761924|69.63.76.215|Internet Explorer|maybe|5|6597069766660|44|-1|343597384802|
1293915239715|1276847458297|7|343597384808|1293915239715|41.74.35.53|Chrome|roflol|6|4398046511136|8|-1|343597384807|
1293920089296|1283798254594|7|343597384800|1293920089296|27.50.69.98|Chrome|maybe|5|6597069766667|62|343597384797|-1|
1293941518501|1280077491119|7|343597384805|1293941518501|103.1.115.191|Firefox|duh|3|4398046511113|0|-1|343597384802|
1294047083954|1278448075869|7|343597384771|1294047083954|91.200.196.50|Firefox|About John Howard, orter of King Richard III of England with whom he died in combat a|85|4398046511146|24|343597384765|-1|58
