":START_ID",":END_ID"
"3","36"
"3","30"
"3","12"
"50","464"
"50","472"
"50","484"
"50","438"
"50","446"
"50","458"
"50","420"
"50","426"
"50","368"
"50","376"
"50","59"
"50","53"
"50","65"
"50","73"
"50","79"
"50","85"
"50","97"
"50","111"
"50","123"
"50","129"
"50","143"
"50","151"
"50","163"
"50","169"
"50","189"
"50","181"
"50","207"
"50","195"
"50","219"
"50","213"
"50","237"
"50","231"
"50","225"
"50","257"
"50","263"
"50","245"
"50","251"
"50","289"
"50","271"
"50","277"
"50","283"
"50","321"
"50","301"
"50","307"
"50","348"
"50","340"
"50","388"
"492","759"
"492","773"
"492","779"
"492","785"
"492","793"
"492","799"
"492","805"
"492","817"
"492","811"
"492","697"
"492","715"
"492","893"
"492","887"
"492","881"
"492","907"
"492","919"
"492","913"
"492","829"
"492","823"
"492","841"
"492","835"
"492","857"
"492","863"
"492","849"
"492","869"
"492","507"
"492","501"
"492","551"
"492","543"
"492","563"
"492","557"
"492","519"
"492","525"
"492","626"
"492","602"
"492","614"
"492","588"
"492","594"
"492","576"
"492","582"
"492","683"
"492","691"
"492","677"
"492","658"
"492","632"
"492","640"
"492","753"
"492","747"
"492","727"
"492","721"
"927","1302"
"927","1288"
"927","1276"
"927","986"
"927","978"
"927","972"
"927","966"
"927","1016"
"927","1010"
"927","1004"
"927","998"
"927","992"
"927","954"
"927","948"
"927","930"
"927","1101"
"927","1113"
"927","1095"
"927","1134"
"927","1121"
"927","1038"
"927","1044"
"927","1050"
"927","1024"
"927","1082"
"927","1056"
"927","1258"
"927","1270"
"927","1264"
"927","1220"
"927","1240"
"927","1232"
"927","1194"
"927","1208"
"927","1202"
"927","1160"
"927","1168"
"927","1308"
"927","1320"
"927","1314"
"927","1333"
"1346","1367"
"1346","1373"
"1346","1361"
"1346","1387"
"1346","1399"
"1346","1411"
"1346","1349"
"1346","1355"
