":START_ID",":END_ID"
"3","48"
"50","470"
"50","490"
"50","444"
"50","406"
"50","71"
"50","109"
"50","135"
"50","149"
"50","187"
"50","243"
"50","269"
"50","319"
"50","354"
"50","346"
"50","374"
"492","765"
"492","791"
"492","905"
"492","925"
"492","847"
"492","855"
"492","549"
"492","600"
"492","689"
"492","638"
"492","733"
"927","1294"
"927","984"
"927","1146"
"927","1119"
"927","1022"
"927","1030"
"927","1074"
"927","1238"
"927","1200"
"927","1166"
"927","1345"
"1347","1386"
"1347","1418"
"1420","1441"
"1420","1814"
"1420","1609"
"1420","1583"
"1420","1623"
"1420","1661"
"1420","1512"
"1420","1492"
"1420","1551"
"1420","1853"
"1420","1718"
"1420","1750"
"1420","1758"
"1855","2119"
"1855","2147"
"1855","2133"
"1855","2043"
"1855","2087"
"1855","2243"
"1855","2353"
"1855","2327"
"1855","1953"
"1855","1915"
"1855","1999"
"1855","1979"
"1855","1864"
"1855","2205"
"1855","2161"
"1855","2269"
"2355","2388"
"2355","2458"
"2355","2432"
"2355","2492"
"2355","2466"
"2494","2540"
"2541","2580"
"2541","2630"
"2541","2686"
