":START_ID",":END_ID"
"3","36"
"3","30"
"3","12"
"50","464"
"50","472"
"50","484"
"50","438"
"50","446"
"50","458"
"50","420"
"50","426"
"50","368"
"50","376"
"50","59"
"50","53"
"50","65"
"50","73"
"50","79"
"50","85"
"50","97"
"50","111"
"50","123"
"50","129"
"50","143"
"50","151"
"50","163"
"50","169"
"50","189"
"50","181"
"50","207"
"50","195"
"50","219"
"50","213"
"50","237"
"50","231"
"50","225"
"50","257"
"50","263"
"50","245"
"50","251"
"50","289"
"50","271"
"50","277"
"50","283"
"50","321"
"50","301"
"50","307"
"50","348"
"50","340"
"50","388"
"492","759"
"492","773"
"492","779"
"492","785"
"492","793"
"492","799"
"492","805"
"492","817"
"492","811"
"492","697"
"492","715"
"492","893"
"492","887"
"492","881"
"492","907"
"492","919"
"492","913"
"492","829"
"492","823"
"492","841"
"492","835"
"492","857"
"492","863"
"492","849"
"492","869"
"492","507"
"492","501"
"492","551"
"492","543"
"492","563"
"492","557"
"492","519"
"492","525"
"492","626"
"492","602"
"492","614"
"492","588"
"492","594"
"492","576"
"492","582"
"492","683"
"492","691"
"492","677"
"492","658"
"492","632"
"492","640"
"492","753"
"492","747"
"492","727"
"492","721"
"927","1302"
"927","1288"
"927","1276"
"927","986"
"927","978"
"927","972"
"927","966"
"927","1016"
"927","1010"
"927","1004"
"927","998"
"927","992"
"927","954"
"927","948"
"927","930"
"927","1101"
"927","1113"
"927","1095"
"927","1134"
"927","1121"
"927","1038"
"927","1044"
"927","1050"
"927","1024"
"927","1082"
"927","1056"
"927","1258"
"927","1270"
"927","1264"
"927","1220"
"927","1240"
"927","1232"
"927","1194"
"927","1208"
"927","1202"
"927","1160"
"927","1168"
"927","1308"
"927","1320"
"927","1314"
"927","1333"
"1347","1368"
"1347","1374"
"1347","1362"
"1347","1388"
"1347","1400"
"1347","1412"
"1347","1350"
"1347","1356"
"1420","1435"
"1420","1429"
"1420","1455"
"1420","1449"
"1420","1822"
"1420","1828"
"1420","1816"
"1420","1808"
"1420","1802"
"1420","1796"
"1420","1790"
"1420","1611"
"1420","1597"
"1420","1603"
"1420","1591"
"1420","1631"
"1420","1625"
"1420","1617"
"1420","1669"
"1420","1655"
"1420","1649"
"1420","1643"
"1420","1700"
"1420","1687"
"1420","1681"
"1420","1675"
"1420","1485"
"1420","1461"
"1420","1467"
"1420","1506"
"1420","1514"
"1420","1494"
"1420","1500"
"1420","1539"
"1420","1545"
"1420","1526"
"1420","1532"
"1420","1571"
"1420","1577"
"1420","1553"
"1420","1559"
"1420","1840"
"1420","1706"
"1420","1720"
"1420","1726"
"1420","1738"
"1420","1744"
"1420","1760"
"1420","1766"
"1420","1778"
"1855","2127"
"1855","2121"
"1855","2113"
"1855","2101"
"1855","2155"
"1855","2149"
"1855","2141"
"1855","2063"
"1855","2051"
"1855","2045"
"1855","2095"
"1855","2089"
"1855","2075"
"1855","2081"
"1855","2069"
"1855","2251"
"1855","2225"
"1855","2309"
"1855","2303"
"1855","2296"
"1855","2341"
"1855","2347"
"1855","2329"
"1855","2321"
"1855","1967"
"1855","1961"
"1855","1955"
"1855","1947"
"1855","1935"
"1855","1917"
"1855","2031"
"1855","2025"
"1855","2013"
"1855","2019"
"1855","2007"
"1855","2001"
"1855","1993"
"1855","1981"
"1855","1896"
"1855","1909"
"1855","1884"
"1855","1890"
"1855","1866"
"1855","1878"
"1855","1858"
"1855","2199"
"1855","2193"
"1855","2169"
"1855","2187"
"1855","2181"
"1855","2263"
"1855","2257"
"1855","2283"
"1855","2277"
"1855","2237"
"2355","2396"
"2355","2376"
"2355","2382"
"2355","2370"
"2355","2364"
"2355","2452"
"2355","2434"
"2355","2440"
"2355","2446"
"2355","2420"
"2355","2426"
"2355","2402"
"2355","2408"
"2355","2486"
"2355","2480"
"2355","2474"
"2355","2468"
"2494","2534"
"2494","2522"
"2494","2528"
"2494","2516"
"2494","2509"
"2494","2503"
"2541","2544"
"2541","2550"
"2541","2556"
"2541","2562"
"2541","2568"
"2541","2574"
"2541","2600"
"2541","2612"
"2541","2618"
"2541","2624"
"2541","2632"
"2541","2638"
"2541","2656"
"2541","2644"
"2541","2650"
"2541","2662"
"2541","2674"
