":START_ID",":END_ID"
"48","5"
"71","52"
"109","72"
"135","110"
"149","136"
"187","150"
"243","188"
"269","244"
"319","270"
"346","320"
"354","347"
"374","355"
"406","375"
"444","407"
"470","445"
"490","471"
"549","494"
"600","550"
"638","601"
"689","639"
"733","690"
"765","734"
"791","766"
"847","792"
"855","848"
"905","856"
"925","906"
"984","929"
"1022","985"
"1030","1023"
"1074","1031"
"1119","1075"
"1146","1120"
"1166","1147"
"1200","1167"
"1238","1201"
"1294","1239"
"1345","1295"
"1386","1349"
"1418","1387"
"1441","1422"
"1492","1442"
"1512","1493"
"1551","1513"
"1583","1552"
"1609","1584"
"1623","1610"
"1661","1624"
"1718","1662"
"1750","1719"
"1758","1751"
"1814","1759"
"1853","1815"
"1864","1857"
"1915","1865"
"1953","1916"
"1979","1954"
"1999","1980"
"2043","2000"
"2087","2044"
"2119","2088"
"2133","2120"
"2147","2134"
"2161","2148"
"2205","2162"
"2243","2206"
"2269","2244"
"2327","2270"
"2353","2328"
"2388","2357"
"2432","2389"
"2458","2433"
"2466","2459"
"2492","2467"
"2540","2496"
"2580","2543"
"2630","2581"
"2686","2631"
