":ID","length:INT"
"7","358"
"8","461"
"9","879"
"10","829"
"11","732"
"13","-503"
"14","294"
"15","306"
"16","597"
"17","396"
"19","730"
"20","968"
"21","197"
"22","324"
"23","645"
"25","641"
"26","639"
"27","852"
"28","931"
"29","367"
"31","711"
"32","733"
"33","449"
"34","549"
"35","567"
"37","849"
"38","345"
"39","771"
"40","387"
"41","313"
"43","26"
"44","99"
"45","853"
"46","560"
"47","190"
"54","994"
"55","715"
"56","232"
"57","901"
"58","530"
"60","800"
"61","813"
"62","975"
"63","386"
"64","220"
"66","45"
"67","85"
"68","246"
"69","246"
"70","437"
"74","488"
"75","-557"
"76","997"
"77","494"
"78","23"
"80","711"
"81","740"
"82","242"
"83","840"
"84","284"
"86","801"
"87","386"
"88","769"
"89","-378"
"90","230"
"92","486"
"93","921"
"94","329"
"95","703"
"96","763"
"98","547"
"99","257"
"100","488"
"101","366"
"102","638"
"104","517"
"105","-783"
"106","566"
"107","386"
"108","462"
"112","342"
"113","986"
"114","798"
"115","480"
"116","214"
"118","772"
"119","981"
"120","-184"
"121","324"
"122","881"
"124","521"
"125","750"
"126","250"
"127","-577"
"128","39"
"130","894"
"131","-949"
"132","-716"
"133","942"
"134","547"
"138","616"
"139","870"
"140","-342"
"141","333"
"142","923"
"144","889"
"145","465"
"146","470"
"147","343"
"148","-769"
"152","90"
"153","52"
"154","685"
"155","404"
"156","111"
"158","514"
"159","883"
"160","270"
"161","684"
"162","156"
"164","-733"
"165","372"
"166","917"
"167","373"
"168","507"
"170","149"
"171","773"
"172","75"
"173","565"
"174","-881"
"176","136"
"177","640"
"178","267"
"179","94"
"180","627"
"182","519"
"183","643"
"184","207"
"185","157"
"186","620"
"190","524"
"191","82"
"192","36"
"193","263"
"194","970"
"196","683"
"197","806"
"198","777"
"199","-544"
"200","352"
"202","611"
"203","605"
"204","386"
"205","781"
"206","83"
"208","772"
"209","817"
"210","503"
"211","847"
"212","121"
"214","195"
"215","899"
"216","373"
"217","423"
"218","450"
"220","95"
"221","522"
"222","984"
"223","460"
"224","-689"
"226","61"
"227","917"
"228","569"
"229","971"
"230","-591"
"232","35"
"233","718"
"234","307"
"235","161"
"236","1000"
"238","909"
"239","750"
"240","200"
"241","79"
"242","135"
"246","432"
"247","589"
"248","533"
"249","632"
"250","469"
"252","225"
"253","966"
"254","517"
"255","778"
"256","-465"
"258","182"
"259","972"
"260","349"
"261","695"
"262","223"
"264","282"
"265","-981"
"266","78"
"267","229"
"268","137"
"272","50"
"273","578"
"274","596"
"275","836"
"276","120"
"278","341"
"279","654"
"280","96"
"281","-995"
"282","809"
"284","507"
"285","83"
"286","186"
"287","-913"
"288","303"
"290","31"
"291","100"
"292","741"
"293","-567"
"294","881"
"296","838"
"297","215"
"298","845"
"299","573"
"300","475"
"302","723"
"303","495"
"304","123"
"305","772"
"306","769"
"308","456"
"309","148"
"310","-920"
"311","912"
"312","-451"
"314","30"
"315","827"
"316","998"
"317","638"
"318","669"
"322","211"
"323","773"
"324","220"
"325","431"
"326","884"
"327","625"
"329","236"
"330","994"
"331","837"
"332","479"
"333","297"
"335","283"
"336","52"
"337","694"
"338","895"
"339","140"
"341","57"
"342","-248"
"343","-933"
"344","-233"
