Post.id|Tag.id
137438953796|1944
137438953796|5159
137438953796|10468
137438953796|11623
137438953796|12427
274877907724|1761
274877907724|5478
274877907724|5617
274877907724|10295
274877907724|11225
274877907724|12989
343597384642|2997
343597384658|2997
343597384689|2997
343597384714|2997
343597384731|2997
343597384753|2997
274877908049|2997
343597384818|2997
274877908111|2997
343597384855|2997
274877908497|6
274877908497|588
274877908497|11695
206158431764|1521
206158431764|2789
206158431764|2850
206158431764|2997
206158431764|8153
206158431764|12609
