id|imageFile|creationDate|locationIP|browserUsed|language|content|length
343597383680|photo343597383680.jpg|2010-12-26T04:58:53.756+0000|200.5.15.1|Internet Explorer|||0
343597383681|photo343597383681.jpg|2010-12-26T04:58:54.756+0000|200.5.15.1|Internet Explorer|||0
343597383682|photo343597383682.jpg|2010-12-26T04:58:55.756+0000|200.5.15.1|Internet Explorer|||0
343597383683|photo343597383683.jpg|2010-12-26T04:58:56.756+0000|200.5.15.1|Internet Explorer|||0
343597383684|photo343597383684.jpg|2010-12-26T04:58:57.756+0000|200.5.15.1|Internet Explorer|||0
343597383685|photo343597383685.jpg|2010-12-26T04:58:58.756+0000|200.5.15.1|Internet Explorer|||0
343597383686|photo343597383686.jpg|2010-12-26T04:58:59.756+0000|200.5.15.1|Internet Explorer|||0
343597383687|photo343597383687.jpg|2010-12-26T04:59:00.756+0000|200.5.15.1|Internet Explorer|||0
343597383688|photo343597383688.jpg|2010-12-26T04:59:01.756+0000|200.5.15.1|Internet Explorer|||0
343597383689|photo343597383689.jpg|2010-12-26T04:59:02.756+0000|200.5.15.1|Internet Explorer|||0
343597383690|photo343597383690.jpg|2010-12-26T04:59:03.756+0000|200.5.15.1|Internet Explorer|||0
343597383691|photo343597383691.jpg|2010-12-26T04:59:04.756+0000|200.5.15.1|Internet Explorer|||0
343597383692|photo343597383692.jpg|2010-12-26T04:59:05.756+0000|200.5.15.1|Internet Explorer|||0
343597383693|photo343597383693.jpg|2010-12-26T04:59:06.756+0000|200.5.15.1|Internet Explorer|||0
343597383694|photo343597383694.jpg|2010-12-26T04:59:07.756+0000|200.5.15.1|Internet Explorer|||0
343597383695|photo343597383695.jpg|2010-12-26T04:59:08.756+0000|200.5.15.1|Internet Explorer|||0
343597383696|photo343597383696.jpg|2010-12-26T04:59:09.756+0000|200.5.15.1|Internet Explorer|||0
343597383697|photo343597383697.jpg|2010-12-26T04:59:10.756+0000|200.5.15.1|Internet Explorer|||0
343597383698|photo343597383698.jpg|2010-12-26T04:59:11.756+0000|200.5.15.1|Internet Explorer|||0
343597383699|photo343597383699.jpg|2010-12-13T13:36:38.636+0000|200.5.15.1|Internet Explorer|||0
343597383700|photo343597383700.jpg|2010-12-13T13:36:39.636+0000|200.5.15.1|Internet Explorer|||0
343597383701|photo343597383701.jpg|2010-12-13T13:36:40.636+0000|200.5.15.1|Internet Explorer|||0
343597383702|photo343597383702.jpg|2010-12-13T13:36:41.636+0000|200.5.15.1|Internet Explorer|||0
343597383703|photo343597383703.jpg|2010-12-13T13:36:42.636+0000|200.5.15.1|Internet Explorer|||0
343597383704|photo343597383704.jpg|2010-12-13T13:36:43.636+0000|200.5.15.1|Internet Explorer|||0
343597383705|photo343597383705.jpg|2010-12-13T13:36:44.636+0000|200.5.15.1|Internet Explorer|||0
343597383706|photo343597383706.jpg|2010-12-13T13:36:45.636+0000|200.5.15.1|Internet Explorer|||0
343597383707|photo343597383707.jpg|2010-12-13T13:36:46.636+0000|200.5.15.1|Internet Explorer|||0
343597383708|photo343597383708.jpg|2010-12-13T13:36:47.636+0000|200.5.15.1|Internet Explorer|||0
