Person.id|Comment.id|creationDate
2199023255555|274877907739|2010-10-17T10:49:49.548+0000
2199023255574|274877907739|2010-10-19T22:10:36.005+0000
2199023255580|274877907739|2010-10-20T20:08:45.095+0000
4398046511109|274877907739|2010-10-23T04:45:37.061+0000
4398046511113|274877907739|2010-10-17T09:50:55.482+0000
4398046511146|274877907739|2010-10-21T12:02:22.031+0000
4398046511147|274877907739|2010-10-18T18:32:26.708+0000
4398046511151|274877907739|2010-10-19T12:25:54.219+0000
6597069766672|274877907739|2010-10-19T14:59:31.136+0000
6597069766701|274877907739|2010-10-20T12:29:39.670+0000
8796093022232|274877907739|2010-11-24T04:48:59.726+0000
8796093022235|274877907739|2010-10-22T14:46:52.483+0000
8796093022239|274877907739|2010-10-19T03:33:35.477+0000
8796093022248|274877907739|2010-10-19T19:46:45.512+0000
8796093022252|274877907739|2010-10-17T16:16:03.742+0000
6597069766674|343597384668|2010-12-23T12:26:11.575+0000
8796093022215|343597384668|2010-12-22T06:55:40.385+0000
2199023255565|343597384668|2010-12-21T00:40:26.354+0000
10995116277809|343597384668|2010-12-24T03:03:14.551+0000
6597069766660|343597384668|2010-12-24T18:56:03.773+0000
10|343597384668|2010-12-24T16:54:33.117+0000
4398046511147|343597384668|2010-12-23T03:45:58.212+0000
2199023255591|343597384668|2010-12-21T04:33:46.337+0000
6597069766672|343597384668|2010-12-21T15:25:22.685+0000
4398046511105|343597384668|2010-12-22T10:30:58.726+0000
10995116277795|343597384668|2010-12-22T14:42:29.116+0000
8796093022222|343597384668|2010-12-21T01:34:01.216+0000
41|343597384668|2010-12-21T01:09:37.031+0000
6597069766701|343597384668|2010-12-23T07:15:33.898+0000
4398046511106|343597384668|2010-12-22T01:11:33.533+0000
8796093022239|343597384668|2010-12-21T23:30:07.642+0000
2199023255555|343597384668|2010-12-22T20:31:38.968+0000
4398046511127|343597384668|2010-12-21T23:23:39.399+0000
6597069766681|343597384668|2010-12-23T09:25:35.926+0000
8796093022232|343597384668|2010-12-21T01:17:30.808+0000
4398046511123|343597384668|2010-12-21T22:41:54.959+0000
8796093022235|343597384668|2010-12-20T20:40:26.402+0000
8796093022246|343597384668|2010-12-21T10:37:03.719+0000
4398046511136|343597384668|2010-12-23T04:11:05.702+0000
6597069766656|343597384668|2010-12-24T22:39:33.542+0000
4398046511133|343597384668|2010-12-22T07:35:18.078+0000
4398046511109|343597384668|2010-12-22T05:55:31.032+0000
8796093022238|343597384668|2010-12-21T08:56:50.422+0000
8796093022220|343597384668|2010-12-20T22:07:28.939+0000
8796093022248|343597384668|2010-12-25T07:42:56.305+0000
6597069766692|343597384668|2010-12-26T00:12:47.076+0000
4398046511113|343597384668|2010-12-24T12:06:42.261+0000
10995116277806|343597384668|2010-12-23T09:27:25.011+0000
2199023255580|343597384668|2010-12-26T06:04:03.403+0000
8796093022252|343597384668|2010-12-21T07:41:18.947+0000
6|343597384668|2010-12-21T06:32:48.121+0000
6597069766667|343597384668|2010-12-24T06:27:07.106+0000
4398046511112|343597384668|2010-12-20T22:54:13.755+0000
4398046511146|343597384668|2010-12-22T02:13:12.607+0000
2199023255574|343597384668|2010-12-23T05:00:35.961+0000
4398046511124|343597384668|2010-12-24T15:58:51.681+0000
